sentence,word,hierarchical,non-hierarchical
0,active,DEFINIENDUM,
0,cave,DEFINIENDUM,
0,:,,
0,Cave,GENUS,
0,containing,,HAS_FUNCTION
0,a,,HAS_FUNCTION
0,running,,HAS_FUNCTION
0,stream,,HAS_FUNCTION
0,.,,
1,active,DEFINIENDUM,
1,cave,DEFINIENDUM,
1,:,,
1,Cave,GENUS,
1,in,,CONTAINS
1,which,,CONTAINS
1,speleothems,,CONTAINS
1,are,,CONTAINS
1,growing,,CONTAINS
1,.,,
1,Compare,,
1,live,,
1,cave,,
1,.,,
2,aggressive,DEFINIENDUM,
2,water,DEFINIENDUM,
2,:,,
2,Water,GENUS,
2,having,,HAS_FUNCTION
2,the,,HAS_FUNCTION
2,ability,,HAS_FUNCTION
2,to,,HAS_FUNCTION
2,dissolve,,HAS_FUNCTION
2,rocks,,HAS_FUNCTION
2,.,,
2,In,,
2,the,,
2,context,,
2,of,,
2,limestone,,
2,and,,
2,dolomite,,
2,",",,
2,this,,
2,term,,
2,refers,,
2,especially,,
2,to,,
2,water,,
2,containing,,CONTAINS
2,dissolved,,CONTAINS
2,carbon,,CONTAINS
2,dioxide,,CONTAINS
2,or,,CONTAINS
2,",",,CONTAINS
2,rarely,,CONTAINS
2,",",,CONTAINS
2,other,,CONTAINS
2,acids,,CONTAINS
2,.,,
3,anastomosis,DEFINIENDUM,
3,:,,
3,A,,DEFINED_AS
3,network,,DEFINED_AS
3,of,,DEFINED_AS
3,tubular,,DEFINED_AS
3,passages,,DEFINED_AS
3,or,,DEFINED_AS
3,holes,,DEFINED_AS
3,in,,HAS_LOCATION
3,a,,HAS_LOCATION
3,cave,,HAS_LOCATION
3,or,,HAS_LOCATION
3,in,,HAS_LOCATION
3,a,,HAS_LOCATION
3,solution,,HAS_LOCATION
3,-,,HAS_LOCATION
3,sculptured,,HAS_LOCATION
3,rock,,HAS_LOCATION
3,.,,
3,A,,HAS_FORM
3,complex,,HAS_FORM
3,of,,HAS_FORM
3,many,,HAS_FORM
3,irregular,,HAS_FORM
3,and,,HAS_FORM
3,repeatedly,,HAS_FORM
3,connected,,HAS_FORM
3,passages,,HAS_FORM
3,.,,
3,Synonym,,
3,",",,
3,labryrinth,,
3,.,,
4,anthodite,DEFINIENDUM,
4,:,,
4,A,,
4,cave,GENUS,
4,formation,GENUS,
4,composed,,COMPOSITION_MEDIUM
4,of,,COMPOSITION_MEDIUM
4,feathery,,COMPOSITION_MEDIUM
4,or,,COMPOSITION_MEDIUM
4,radiating,,COMPOSITION_MEDIUM
4,masses,,COMPOSITION_MEDIUM
4,of,,COMPOSITION_MEDIUM
4,long,,COMPOSITION_MEDIUM
4,needlelike,,COMPOSITION_MEDIUM
4,crystals,,COMPOSITION_MEDIUM
4,of,,COMPOSITION_MEDIUM
4,gypsum,,COMPOSITION_MEDIUM
4,or,,COMPOSITION_MEDIUM
4,aragonite,,COMPOSITION_MEDIUM
4,",",,
4,which,,HAS_FORM
4,radiate,,HAS_FORM
4,ortward,,HAS_FORM
4,from,,HAS_FORM
4,a,,HAS_FORM
4,common,,HAS_FORM
4,base,,HAS_FORM
4,.,,
4,See,,
4,also,,
4,cave,,
4,flower,,
4,.,,
5,apron,DEFINIENDUM,
5,:,,
5,A,,
5,smooth,,HAS_FORM
5,bulging,,
5,mass,GENUS,COMPOSITION_MEDIUM
5,of,GENUS,COMPOSITION_MEDIUM
5,flowstone,GENUS,COMPOSITION_MEDIUM
5,covering,,HAS_LOCATION
5,sloping,,HAS_LOCATION
5,projections,,HAS_LOCATION
5,from,,HAS_LOCATION
5,walls,,HAS_LOCATION
5,of,,HAS_LOCATION
5,caves,,HAS_LOCATION
5,or,,HAS_LOCATION
5,limestone,,HAS_LOCATION
5,cliffs,,HAS_LOCATION
5,.,,
6,aquifer,DEFINIENDUM,
6,:,,
6,A,,
6,ground-water,GENUS,COMPOSITION_MEDIUM
6,reservoir,GENUS,
6,.,,
6,Pervious,,HAS_ATTRIBUTE
6,rock,,HAS_ATTRIBUTE
