Sentence,Word,category,hierarchical,non-hierarchical,non-hierarchical-definitor
0,active,A.2_Underground_landform,DEFINIENDUM,,
0,cave,A.2_Underground_landform,DEFINIENDUM,,
0,:,,,,
0,Cave,A.2_Underground_landform,GENUS,,
0,containing,,,HAS_FUNCTION,frame_FUNCTION
0,a,,,HAS_FUNCTION,frame_FUNCTION
0,running,D.1_Abiotic,,HAS_FUNCTION,
0,stream,D.1_Abiotic,,HAS_FUNCTION,
0,.,,,,
1,active,A.2_Underground_landform,DEFINIENDUM,,
1,cave,A.2_Underground_landform,DEFINIENDUM,,
1,:,,,,
1,Cave,A.2_Underground_landform,GENUS,,
1,in,,,CONTAINS,
1,which,,,CONTAINS,
1,speleothems,A.2_Underground_landform,,CONTAINS,
1,are,,,CONTAINS,
1,growing,,,CONTAINS,
1,.,,,,
1,Compare,,,,
1,live,A.2_Underground_landform,,,
1,cave,A.2_Underground_landform,,,
1,.,,,,
2,aggressive,D.1_Abiotic,DEFINIENDUM,,
2,water,D.1_Abiotic,DEFINIENDUM,,
2,:,,,,
2,Water,D.1_Abiotic,GENUS,,
2,having,,,HAS_FUNCTION,frame_FUNCTION
2,the,,,HAS_FUNCTION,frame_FUNCTION
2,ability,,,HAS_FUNCTION,frame_FUNCTION
2,to,,,HAS_FUNCTION,frame_FUNCTION
2,dissolve,B.4_Transformation,,HAS_FUNCTION,
2,rocks,D.1_Abiotic,,HAS_FUNCTION,
2,.,,,,
2,In,,,,
2,the,,,,
2,context,,,,
2,of,,,,
2,limestone,D.1_Abiotic,,,
2,and,,,,
2,dolomite,D.1_Abiotic,,,
2,",",,,,
2,this,,,,
2,term,,,,
2,refers,,,,
2,especially,,,,
2,to,,,,
2,water,,,,
2,containing,,,CONTAINS,frame_CONTAINS
2,dissolved,,,CONTAINS,
2,carbon,D.1_Abiotic,,CONTAINS,
2,dioxide,D.1_Abiotic,,CONTAINS,
2,or,,,CONTAINS,
2,",",,,CONTAINS,
2,rarely,,,CONTAINS,
2,",",,,CONTAINS,
