Sentence,Word,category,hierarchical,non-hierarchical,non-hierarchical-definitor
0,﻿dužinski,E.1_Instrument,DEFINIENDUM,,
0,profil,E.1_Instrument,DEFINIENDUM,,
0,:,,,,
0,Karta,E.1_Instrument,GENUS,,
0,špilje,E.1_Instrument,GENUS,,
0,koja,,,HAS_FUNCTION,
0,pokazuje,,,HAS_FUNCTION,
0,profil,,,HAS_FUNCTION,
0,po,,,HAS_FUNCTION,
0,duljini,,,HAS_FUNCTION,
0,špilje,A.2_Underground_landform,,HAS_FUNCTION,
0,ili,,,HAS_FUNCTION,
0,jednog,,,HAS_FUNCTION,
0,kanala,A.2_Underground_landform,,HAS_FUNCTION,
0,ili,,,HAS_FUNCTION,
0,dvorane,A.2_Underground_landform,,HAS_FUNCTION,
0,.,,,,
1,ponornica,D.1_Abiotic,DEFINIENDUM,,
1,:,,,,
1,Rijeka,D.1_Abiotic,GENUS,,
1,u,,,HAS_LOCATION,frame_LOCATION
1,krškom,C._Geome,,HAS_LOCATION,
1,području,C._Geome,,HAS_LOCATION,
1,koja,,,HAS_FUNCTION,
1,ponire,,,HAS_FUNCTION,
1,u,,,HAS_LOCATION,
1,podzemni,A.2_Underground_landform,,HAS_LOCATION,
1,kanal,A.2_Underground_landform,,HAS_LOCATION,
1,.,,,HAS_LOCATION,
2,ponirući,D.1_Abiotic,DEFINIENDUM,,
2,potok,D.1_Abiotic,DEFINIENDUM,,
2,:,,,,
2,Vodotok,D.1_Abiotic,GENUS,,
2,koji,,,HAS_FUNCTION,
2,ponire,,,HAS_FUNCTION,
2,u,,,HAS_LOCATION,frame_LOCATION
2,krškom,C._Geome,,HAS_LOCATION,
2,području,C._Geome,,HAS_LOCATION,
2,.,,,,
3,lublinit,D.1_Abiotic,DEFINIENDUM,,
3,:,,,,
3,Vrlo,,,HAS_ATTRIBUTE,
3,mekana,,,HAS_ATTRIBUTE,
3,",",,,HAS_ATTRIBUTE,
3,sirasta,,,HAS_ATTRIBUTE,
3,ili,,,HAS_ATTRIBUTE,
3,spužvasta,,,HAS_ATTRIBUTE,
3,mješavina,,,DEFINED_AS,
3,kalcita,D.1_Abiotic,,DEFINED_AS,
3,i,,,DEFINED_AS,
3,vode,D.1_Abiotic,,DEFINED_AS,
3,.,,,,
4,makrokaverna,A.2_Underground_landform,DEFINIENDUM,,
4,:,,,,
4,Obuhvaća,,,,
4,sve,,,,
4,šupljine,,GENUS,,
4,u,,GENUS,,
4,stijeni,,GENUS,,
4,koje,,,HAS_SIZE,
4,imaju,,,HAS_SIZE,
4,promjer,,,HAS_SIZE,
4,veći,,,HAS_SIZE,
4,od,,,HAS_SIZE,
4,20,,,HAS_SIZE,
4,cm,,,HAS_SIZE,
4,.,,,,
4,Obuhvaća,,,,
4,i,,,,
4,sve,,,,
4,kanale,A.2_Underground_landform,GENUS,,
4,ako,,,,
4,su,,,,
4,prohodni,,,HAS_ATTRIBUTE,
4,za,,,HAS_ATTRIBUTE,
4,ljude,,,HAS_ATTRIBUTE,
4,.,,,,
5,mamilaran,D.1_Abiotic,DEFINIENDUM,,
5,:,,,,
5,1,,,,
5,Varijetet,,,,
5,zaobljene,,,HAS_FORM,
5,podvodne,D.1_Abiotic,GENUS,,
5,prevlake,D.1_Abiotic,GENUS,,
5,.,,,,
5,2,,,,
5,Zaobljena,,,HAS_FORM,
5,siga,D.1_Abiotic,GENUS,,
5,koja,,,,
5,se,,,,frame_COMPOSITION
5,sastoji,,,,frame_COMPOSITION
5,od,,,COMPOSITION_MEDIUM,frame_COMPOSITION
5,karbonatnog,D.1_Abiotic,,COMPOSITION_MEDIUM,
5,sloja,D.1_Abiotic,,COMPOSITION_MEDIUM,
5,koji,,,HAS_LOCATION,
5,prekriva,,,HAS_LOCATION,
5,čvrstu,,,HAS_LOCATION,
5,stijenu,,,HAS_LOCATION,
5,.,,,,
6,glavna,A.2_Underground_landform,DEFINIENDUM,,
6,špilja,A.2_Underground_landform,DEFINIENDUM,,
6,:,,,,
6,Najprostraniji,,,DEFINED_AS,
6,dio,,GENUS,DEFINED_AS,
6,špilje,A.2_Underground_landform,GENUS,DEFINED_AS,
6,do,,,,
6,kojeg,,,,
6,vode,,,,
6,sporedni,,,,
6,prolazi,,,,
6,.,,,,
7,razvedena,A.2_Underground_landform,DEFINIENDUM,,
7,špilja,A.2_Underground_landform,DEFINIENDUM,,
7,:,,,,
7,Kompleksni,,,DEFINED_AS,
7,model,,GENUS,DEFINED_AS,
7,povezanih,,GENUS,DEFINED_AS,
7,kanala,,GENUS,DEFINED_AS,
7,",",,,,
7,često,,,,
7,u,,,,
7,dva,,,,
7,ili,,,,
7,više,,,,
7,nivoa,,,,
7,u,,,HAS_LOCATION,
7,špilji,,,HAS_LOCATION,
7,.,,,HAS_LOCATION,
8,merokrš,C._Geome,DEFINIENDUM,,
8,:,,,,
8,Krška,C._Geome,GENUS,,
8,topografija,C._Geome,GENUS,,
8,sa,,,CONTAINS,frame_CONTAINS
8,samo,,,CONTAINS,
8,djelomično,,,CONTAINS,
8,razvijenim,,,CONTAINS,
8,krškim,,,CONTAINS,
8,oblicima,,,CONTAINS,
8,kakva,,,,
8,se,,,HAS_LOCATION,frame_LOCATION
8,nalazi,,,HAS_LOCATION,frame_LOCATION
8,u,,,HAS_LOCATION,frame_LOCATION
8,tankim,,,HAS_LOCATION,
8,",",,,HAS_LOCATION,
8,nečistim,,,HAS_LOCATION,
8,ili,,,HAS_LOCATION,
8,kredastim,,,HAS_LOCATION,
8,vapnencima,D.1_Abiotic,,HAS_LOCATION,
8,gdje,,,,
8,su,,,,
8,uz,,,,
8,površinsku,,,,
8,drenažu,,,,
8,i,,,,
8,suhe,,,,
8,doline,,,,
8,prisutni,,,,
8,i,,,,
8,neki,,,,
8,krški,,,,
8,oblici,,,,
8,.,,,,
9,mezokaverna,A.2_Underground_landform,DEFINIENDUM,,
9,:,,,,
9,Obuhvaća,,,,
9,sve,,,,
9,šupljine,,GENUS,,
9,u,,GENUS,,
9,stijeni,,GENUS,,
9,s,,,HAS_SIZE,frame_SIZE
9,promjerom,,,HAS_SIZE,frame_SIZE
9,između,,,HAS_SIZE,frame_SIZE
9,"0,1",,,HAS_SIZE,
9,cm,,,HAS_SIZE,
9,i,,,HAS_SIZE,
9,20,,,HAS_SIZE,
9,cm,,,HAS_SIZE,
9,.,,,,
9,Nisu,,,HAS_ATTRIBUTE,
9,dovoljno,,,HAS_ATTRIBUTE,
9,velike,,,HAS_ATTRIBUTE,
9,da,,,HAS_ATTRIBUTE,
9,bi,,,HAS_ATTRIBUTE,
9,ih,,,HAS_ATTRIBUTE,
9,se,,,HAS_ATTRIBUTE,
9,smatralo,,,HAS_ATTRIBUTE,
9,špiljama,,,HAS_ATTRIBUTE,
9,u,,,HAS_ATTRIBUTE,
9,sustavu,,,HAS_ATTRIBUTE,
