Sentence,Word,category,hierarchical,non-hierarchical,non-hierarchical-definitor
0,Tafon,A.1_Surface_landform,DEFINIENDUM,,
0,in,,,,
0,niša,A.1_Surface_landform,DEFINIENDUM,,
0,(,,,,
0,spodmoli,A.1_Surface_landform,,,
0,),,,,
0,sta,,,,
0,dve,,,,
0,različni,,,,
0,reliefni,,GENUS,,
0,obliki,,GENUS,,
0,",",,,,
0,čeprav,,,,
0,naj,,,,
0,bi,,,,
0,obe,,,,
0,obliki,,,,
0,nastali,,,,frame_CAUSE
0,z,,,,
0,votlinastim,B._Process,,HAS_CAUSE,
0,preperevanjem,B._Process,,HAS_CAUSE,
0,.,,,,
0,Po,,,,
0,drugi,,,,
0,strani,,,,
0,imamo,,,,
0,avtorje,,,,
0,",",,,,
0,ki,,,,
0,spodmole,A.1_Surface_landform,,,
0,enačijo,,,,
0,s,,,,
0,tafoni,A.1_Surface_landform,,,
0,.,,,,
1,Geomorfologija,E.2_Method,DEFINIENDUM,,
1,je,,DEFINITOR,,
1,veda,E.2_Method,GENUS,,
1,",",,,,
1,ki,,,,
1,razlaga,,,HAS_FUNCTION,
1,odnose,,,HAS_FUNCTION,
1,med,,,HAS_FUNCTION,
1,geomorfnimi,B._Process,,HAS_FUNCTION,
1,procesi,B._Process,,HAS_FUNCTION,
1,in,,,HAS_FUNCTION,
1,reliefnimi,A.1_Surface_landform,,HAS_FUNCTION,
1,oblikami,A.1_Surface_landform,,HAS_FUNCTION,
1,.,,,,
2,Dinarski,C._Geome,DEFINIENDUM,,
2,kras,C._Geome,DEFINIENDUM,,
2,je,,DEFINITOR,,
2,kompletno,,,,
2,razvit,,,,
2,kras,C._Geome,GENUS,,
2,",",,,,
2,katerega,,,,frame_CONTAINS
2,značilnost,,,,frame_CONTAINS
2,so,,,,frame_CONTAINS
2,velike,,,,
2,kraške,A.1_Surface_landform,,CONTAINS,
2,depresije,A.1_Surface_landform,,CONTAINS,
2,ali,,,,
2,z,,,,
2,drugimi,,,,
2,besedami,,,,
2,kraška,A.1_Surface_landform,,CONTAINS,
2,polja,A.1_Surface_landform,,CONTAINS,
2,.,,,,
3,Zoogena,D.1_Abiotic,DEFINIENDUM,,
3,breča,D.1_Abiotic,DEFINIENDUM,,
3,je,,DEFINITOR,,
3,značilna,,,,
3,kamnina,D.1_Abiotic,GENUS,,
3,tega,,,,
3,obdobja,,,,
3,",",,,,
3,ki,,,,
3,je,,,,frame_CAUSE
3,nastala,,,,frame_CAUSE
3,predvsem,,,,frame_CAUSE
3,iz,,,,frame_CAUSE
3,ostankov,,,HAS_CAUSE,
3,favnističnega,,,HAS_CAUSE,
3,izvora,,,HAS_CAUSE,
3,.,,,,
4,Jarkovna,B._Process,DEFINIENDUM,,
4,erozija,B._Process,DEFINIENDUM,,
4,je,,DEFINITOR,,
4,globinska,B._Process,GENUS,,
4,erozija,B._Process,GENUS,,
4,",",,,,
4,pri,,,,
4,kateri,,,,
4,na,,,,
4,primer,,,,
4,z,,,,
4,zdruèvanjem,,,,
4,erozijskih,A.1_Surface_landform,,,
4,žlebičev,A.1_Surface_landform,,,
4,nastajajo,,,,frame_RESULT
4,več,,,,
4,metrov,,,,
4,globoko,,,,
4,in,,,,
4,več,,,,
4,deset,,,,
4,metrov,,,,
4,dolgi,,,,
4,erozijski,A.1_Surface_landform,,HAS_RESULT,
4,jarki,A.1_Surface_landform,,HAS_RESULT,
4,.,,,,
5,Plazovitost,D.3_Property,DEFINIENDUM,,
5,je,,DEFINITOR,,
5,skladnost,D.3_Property,GENUS,,
5,med,,,,
5,usmerjenostjo,,,HAS_CAUSE,
5,pobočij,,,HAS_CAUSE,
5,in,,,HAS_CAUSE,
5,vpadom,,,HAS_CAUSE,
5,kamninskih,,,HAS_CAUSE,
5,plasti,,,HAS_CAUSE,
5,.,,,,
6,Spodmoli,A.1_Surface_landform,DEFINIENDUM,,
6,so,,DEFINITOR,,
6,vdolbine,A.1_Surface_landform,GENUS,,
6,v,,,HAS_LOCATION,
6,navpičnih,,,HAS_LOCATION,
6,stenah,,,HAS_LOCATION,
6,pod,,,HAS_LOCATION,
6,previsi,A.1_Surface_landform,,HAS_LOCATION,
6,",",,,,
6,ki,,,,
6,navadno,,,HAS_SIZE,
6,ne,,,HAS_SIZE,
6,dosegajo,,,HAS_SIZE,
6,dimenzij,,,HAS_SIZE,
6,jam,,,HAS_SIZE,
6,",",,,,
6,njihova,,,,
6,širina,,,,
6,pa,,,,
6,je,,,,
6,večja,,,,
6,od,,,,
6,globine,,,,
6,.,,,,
7,Dolci,A.1_Surface_landform,DEFINIENDUM,,
7,so,,,,
7,v,,,,
7,Sloveniji,D.3.1_Geolocation,,,
7,značilni,,,,
7,za,,,,
7,dolomitna,C._Geome,,HAS_LOCATION,
7,površja,C._Geome,,HAS_LOCATION,
7,",",,,,
7,njihova,,,,
7,morfogeneza,B.4_Transformation,,,
7,pa,,,,
7,je,,,,
7,vezana,,,,
7,na,,,,
7,delovanje,,,HAS_CAUSE,
7,fluviokraških,B._Process,,HAS_CAUSE,
7,procesov,B._Process,,HAS_CAUSE,
7,.,,,,
8,Dolci,A.1_Surface_landform,DEFINIENDUM,,
8,",",,,,
8,tudi,,,,
8,dolki,A.1_Surface_landform,DEFINIENDUM,,
8,",",,,,
8,so,,DEFINITOR,,
8,plitve,,,HAS_SIZE,
8,dolinaste,,,HAS_FORM,
8,reliefne,A.1_Surface_landform,GENUS,,
8,oblike,A.1_Surface_landform,GENUS,,
8,brez,,,,
8,površinskega,,,,
8,vodnega,,,,
8,pretakanja,B._Process,,,
8,.,,,,
9,Dolec,A.1_Surface_landform,DEFINIENDUM,,
9,je,,DEFINITOR,,
9,značilna,,,,
9,oblika,,GENUS,,
9,dolomitnega,C._Geome,,,
9,površja,C._Geome,,,
9,.,,,,
10,Dolek,A.1_Surface_landform,DEFINIENDUM,,
10,oziroma,,,,
10,dolec,A.1_Surface_landform,DEFINIENDUM,,
10,je,,DEFINITOR,,
10,geomorfološka,,GENUS,,
10,oblika,,GENUS,,
10,",",,,,
10,ki,,,,
10,je,,,,
10,zelo,,,,
10,sorodna,,,HAS_FORM,
10,suhi,A.1_Surface_landform,,HAS_FORM,
10,dolini,A.1_Surface_landform,,HAS_FORM,
10,in,,,,
10,se,,,,
10,od,,,,
10,nje,,,,
10,razlikuje,,,,
10,zgolj,,,,
10,po,,,,
10,velikosti,,,,
10,.,,,,
11,V,,,,
11,kraški,E.2_Method,,,
11,hidrologiji,E.2_Method,,,
11,pomeni,,,,
11,piezometrični,,DEFINIENDUM,,
11,nivo,,DEFINIENDUM,,
11,oziroma,,,,
11,nivo,,DEFINIENDUM,,
11,podzemne,,DEFINIENDUM,,
11,vode,,DEFINIENDUM,,
11,v,,,,
11,krasu,C._Geome,,,
11,navidezno,,GENUS,DEFINED_AS,
11,višino,,GENUS,DEFINED_AS,
11,vode,,GENUS,DEFINED_AS,
11,v,,,DEFINED_AS,
11,kanalih,,,DEFINED_AS,
11,",",,,DEFINED_AS,
11,ki,,,DEFINED_AS,
11,vodijo,,,DEFINED_AS,
11,proti,,,DEFINED_AS,
11,izviru,A.3_Hydrological_form,,DEFINED_AS,
11,.,,,,
12,Abrazija,B._Process,DEFINIENDUM,,
12,je,,DEFINITOR,,
12,destrukcijsko,B._Process,GENUS,,
12,delo,B._Process,GENUS,,
12,morskih,,,HAS_CAUSE,
12,in,,,HAS_CAUSE,
12,jezerskih,,,HAS_CAUSE,
12,valov,,,HAS_CAUSE,
12,.,,,,
13,Erozija,B._Process,DEFINIENDUM,,
13,prsti,,DEFINIENDUM,,
13,je,,DEFINITOR,,
13,oznaka,,DEFINITOR,,
13,za,,DEFINITOR,,
13,proces,B._Process,GENUS,,
13,",",,,,
13,ki,,,,
13,povečini,,,,
13,prizadene,,,HAS_RESULT,
13,prst,,,HAS_RESULT,
13,.,,,,
14,Premikanje,B.1_Movement,DEFINIENDUM,,
14,preperine,D.1_Abiotic,DEFINIENDUM,,
14,oziroma,,,,
14,preperinski,B._Process,DEFINIENDUM,,
14,tok,B._Process,DEFINIENDUM,,
14,povzroči,,,,frame_RESULT
