DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE
Erosion,hydraulic action,the energy of running water,,,,,"Erosion is a hydraulic action, derived from the energy of running water."
Basin morphometry,function,,,,,,Basin morphometry is a function of stream order and drainage patterns.
iceberg,piece of ice,that has broken from an ice shelf,,,that floats in the Ocean,,An iceberg is a piece of ice that has broken from an ice shelf and that floats in the Ocean.
Abrasion,process,,,,,,Abrasion is a particle-by-particle erosion process and produces large amounts of silt-sized (0.002 - 0.0625 mm) sediments.
aquifer,body of rock|sediment,,,that has sufficient permeability to allow water to flow through it,,,An aquifer is defined as a body of rock or unconsolidated sediment that has sufficient permeability to allow water to flow through it.
arenite,sandstone,,,,,,"The term arenite applies to a so-called clean sandstone, meaning one with less than 15% silt and clay."
periglacial environment,place,,,,,,A periglacial environment is defined as any place where the geomorphic processes related to the freezing of water occurs.
bay,water body,,,,,an area that is equal to or greater than the area of a semicircle whose diameter is equal to the width of the baymouth|having a baymouth less than 24 nautical miles wide,A bay is a water body having a baymouth less than 24 nautical miles wide and an area that is equal to or greater than the area of a semicircle whose diameter is equal to the width of the baymouth
isolated system,system,,cut off from its surroundings,,,,An isolated system is a system that is completely cut off from its surroundings and that cannot therefore import or export matter or energy.
fault,fracture,,,,,,"A fault is a fracture along which movement associated with an earthquake has taken place, one side of the fault moving differentially to the other side."
Honeycomb weathering,weathering,,resembling a honeycomb .,,,no more than a few centimetres wide and deep,"Honeycomb weathering is a term used to describe numerous small pits or alveoli, no more than a few centimetres wide and deep, separated by an intricate network of narrow walls and resembling a honeycomb. weathering"
Tectonic denudation,unloading,gravity sliding and spreading,,,,,Tectonic denudation is a term that describes the unloading of mountains by gravity sliding and spreading.
Permafrost,soil rock,,remains frozen,,,,Permafrost is soil or rock that remains frozen for two or more consecutive years.
ground moraine,blanket,,,,beneath a glacier,,A ground moraine is a blanket of mixed glacial sediments - mainly tills and other diamictons - formed beneath a glacier.
coral reef,ridge mound,living coral polyps,,,,,"A coral reef is a ridge or mound built of the skeletal remains of generations of coral animals, upon which grow living coral polyps."
atoll,ring|islands,,,,,,An atoll is a ring of coral reef and small sandy islands that encircles a shallow lagoon.
Weathering,process,,,,,,Weathering is a process of a slow continuous breakdown of rocks into smaller particles that are in equilibrium with the prevailing environment
Soil,mixture,,,,,,"Soil is a mixture of fine mineral fragments (including quartz and clay minerals), organic matter, and empty spaces that may be partially filled with water."
clast,fragment,,,,,less than a micron ( too small to see ) to as big as an apartment block,"A clast is a fragment of rock or mineral, ranging in size from less than a micron (too small to see) to as big as an apartment block."
preglacial landform,landform,,,,,,The term preglacial landform refers to any landform older than a specified glaciation.
Geomorphic generation,classification,due to process overprinting,,,,,Geomorphic generation is a part of the classification that allows for the recognition of more than one geomorphic process type or landform at any given location due to process overprinting.
dynamic metastable equilibrium,equilibria,,,in which large jumps across thresholds break in upon small-scale fluctuations about a moving mean,,,"A dynamic metastable equilibrium is a combination of dynamic and metastable equilibria, in which large jumps across thresholds break in upon small-scale fluctuations about a moving mean."
Tephra,material,,,,,,Tephra is a term covering three types of pyroclastic material of differing grain size.
pH,measure,,,,,,pH is a measure of the acidity or alkalinity of aqueous solutions.
Carbonation,step,,,,,,"Carbonation is a step in the complex weathering of many other minerals, such as in the hydrolysis of feldspar."
Laterite,deposits,,,,,,Laterite is a term used to describe weathering deposits rich in iron and aluminium.
Friction,force,,,that acts against gravity and resists movement,,,Friction is a force that acts against gravity and resists movement.
Drainage density,measure,,,,,,Drainage density is a measure of how frequently streams occur on the land surface.
riegel,rock barrier,,,,"that sits across a valley , often where a band of hard rock outcrops",,"A riegel is a rock barrier that sits across a valley, often where a band of hard rock outcrops."
sea cave,hollow,excavated by waves,,,in a zone of weakness on a cliff,,A sea cave is a hollow excavated by waves in a zone of weakness on a cliff.
tidewater glacier,glacier,,,,that terminates in the sea,,"A tidewater glacier is a glacier that terminates in the sea, where it usually ends in an ice cliff from which icebergs are discharged."
light year,unit of length,,,,,,"A light year is a unit of length, equal to just under 10 trillion km."
Moraine,material,transported by a glacier and then deposited,,,,,Moraine is a material transported by a glacier and then deposited.
Orogeny,process,,,,,,Orogeny is a mountain building process whereas epeirogeny is continental building process.
Morphometric analysis,method,,,extracting information from published maps,,,Morphometric analysis is a method of extracting information from published maps.
profilometer,comb,,,advance or retreat through the housing when depressed against a rough surface,,,"The profilometer is a comb equipped with fine, closely spaced teeth that advance or retreat through the housing when depressed against a rough surface."
Amino-acid geochronology,dating technique,,,,,,Amino-acid geochronology is a relative-age dating technique based on the premise that proteins in bones and shells are affected by a number of chemical reactions that are partly time-dependent.
anabranching alluvial river,system,alluvial islands that divide flows at discharges up to bankfull,system of mul tiple channels,,,,An anabranching alluvial river is a system of mul tiple channels characterized by vegetated or oth erwise stable alluvial islands that divide flows at discharges up to bankfull.
earthquake,vibration|oscillation,sudden release of enormous pressure,,,surface of the earth,,An earthquake is a vibration or oscillation of the surface of the earth caused by sudden release of enormous pressure.
