Sentence,Word,POS,Tag
Sentence 1,An,DET,O
,aquifer,NOUN,DFD
,is,AUX,O
,a,DET,O
,body,NOUN,GEN
,of,ADP,GEN
,rock,NOUN,GEN
,that,PRON,O
,can,AUX,O
,store,VERB,O
,and,CCONJ,O
,transmit,VERB,O
,significant,ADJ,O
,quantities,NOUN,O
,of,ADP,O
,water,NOUN,O
,(,PUNCT,O
,Gunn,PROPN,O
,",",PUNCT,O
,2004,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 2,Aragonite,NOUN,DFD
,is,AUX,O
,a,DET,O
,metastable,NOUN,O
,modification,NOUN,GEN
,of,ADP,GEN
,CaCO3,NOUN,GEN
,",",PUNCT,O
,which,PRON,O
,sometimes,ADV,O
,forms,VERB,O
,in,ADP,O
,seawater,NOUN,O
,and,CCONJ,O
,transforms,VERB,O
,into,ADP,O
,calcite,NOUN,O
,during,ADP,O
,diagenesis,NOUN,O
,.,PUNCT,O
Sentence 3,When,ADV,O
,an,DET,O
,aquifer,NOUN,DFD
,is,AUX,O
,bounded,VERB,O
,on,ADP,O
,top,NOUN,O
,and,CCONJ,O
,bottom,NOUN,O
,by,ADP,O
,confining,NOUN,O
,beds,NOUN,O
,",",PUNCT,O
,it,PRON,O
,is,AUX,O
,called,VERB,O
,an,DET,O
,artesian,NOUN,DFD
,aquifer,NOUN,GEN
,.,PUNCT,O
Sentence 4,The,DET,O
,term,NOUN,O
,bedding-plane,NOUN,DFD
,cave,NOUN,DFD
,is,AUX,O
,strictly,ADV,O
,applied,VERB,O
,to,ADP,O
,a,DET,O
,passage,NOUN,GEN
,that,PRON,O
,has,AUX,O
,not,PART,O
,enlarged,VERB,O
,by,ADP,O
,growth,NOUN,O
,into,ADP,O
,a,DET,O
,major,ADJ,O
,tube,NOUN,O
,or,CCONJ,O
,canyon,NOUN,O
,",",PUNCT,O
,but,CCONJ,O
,has,AUX,O
,remained,VERB,O
,almost,ADV,O
,entirely,ADV,O
,on,ADP,O
,the,DET,O
,bedding,NOUN,O
,plane,NOUN,O
,.,PUNCT,O
Sentence 5,A,DET,DFD
,cave,NOUN,DFD
,is,AUX,O
,an,DET,O
,airfilled,NOUN,O
,underground,ADJ,GEN
,void,NOUN,GEN
,",",PUNCT,O
,large,ADJ,O
,enough,ADV,O
,to,PART,O
,be,AUX,O
,examined,VERB,O
,in,ADP,O
,some,DET,O
,way,NOUN,O
,by,ADP,O
,man,NOUN,O
,.,PUNCT,O
Sentence 6,Glacial,ADJ,GEN
,cirques,NOUN,GEN
,have,AUX,O
,been,AUX,O
,transformed,VERB,O
,by,ADP,O
,solution,NOUN,O
,into,ADP,O
,closed,VERB,O
,depressions,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,are,AUX,O
,called,VERB,O
,cirque-dolines,NOUN,DFD
,.,PUNCT,O
Sentence 7,Less,ADV,GEN
,permeable,NOUN,GEN
,rock,NOUN,GEN
,below,ADP,GEN
,an,DET,GEN
,aquifer,NOUN,GEN
,that,PRON,O
,keeps,VERB,O
,groundwater,NOUN,O
,from,SCONJ,O
,draining,VERB,O
,away,ADV,O
,is,AUX,O
,called,VERB,O
,a,DET,O
,confining,NOUN,DFD
,bed,NOUN,DFD
,(,PUNCT,O
,also,ADV,O
,known,VERB,O
,as,ADP,O
,aquitard,NOUN,O
,or,CCONJ,O
,aquiclude,NOUN,O
,),PUNCT,O
,.,PUNCT,O
Sentence 8,Less,ADV,GEN
,permeable,NOUN,GEN
,rock,NOUN,GEN
,below,ADP,GEN
,an,DET,GEN
,aquifer,NOUN,GEN
,that,PRON,O
,keeps,VERB,O
,groundwater,NOUN,O
,from,SCONJ,O
,draining,VERB,O
,away,ADV,O
,is,AUX,O
,called,VERB,O
,a,DET,O
,confining,NOUN,O
,bed,NOUN,O
,(,PUNCT,O
,also,ADV,O
,known,VERB,O
,as,ADP,O
,aquitard,NOUN,DFD
,or,CCONJ,O
,aquiclude,NOUN,DFD
,),PUNCT,O
,.,PUNCT,O
Sentence 9,Karst,NOUN,GEN
,formed,VERB,O
,by,ADP,O
,the,DET,O
,influence,NOUN,O
,surface,NOUN,O
,river,NOUN,O
,flow,NOUN,O
,could,AUX,O
,be,AUX,O
,designated,VERB,O
,by,ADP,O
,the,DET,O
,term,NOUN,O
,of,ADP,O
,contact,NOUN,DFD
,karst,NOUN,DFD
,.,PUNCT,O
Sentence 10,Dolomite,NOUN,DFD
,is,AUX,O
,a,DET,O
,type,NOUN,O
,of,ADP,O
,rock,NOUN,GEN
,that,PRON,O
,dissolves,VERB,O
,and,CCONJ,O
,is,AUX,O
,karstified,ADV,O
,similarly,ADV,O
,as,ADP,O
,limestone,NOUN,O
,.,PUNCT,O
Sentence 11,The,DET,O
,vertical,ADJ,GEN
,change,NOUN,GEN
,in,ADP,GEN
,the,DET,GEN
,level,NOUN,GEN
,of,ADP,GEN
,the,DET,GEN
,potentiometric,NOUN,GEN
,surface,NOUN,GEN
,at,ADP,O
,the,DET,O
,well,NOUN,O
,is,AUX,O
,called,VERB,O
,the,DET,O
,drawdown,NOUN,DFD
,.,PUNCT,O
Sentence 12,Dry,ADJ,DFD
,valley,NOUN,DFD
,is,AUX,O
,a,DET,O
,valley,NOUN,GEN
,that,PRON,O
,generally,ADV,O
,lacks,VERB,O
,a,DET,O
,stream,NOUN,O
,",",PUNCT,O
,although,SCONJ,O
,one,PRON,O
,may,AUX,O
,occasionally,ADV,O
,form,VERB,O
,during,ADP,O
,peak,NOUN,O
,rainfall,NOUN,O
,events,NOUN,O
,.,PUNCT,O
Sentence 13,Endokarst,NOUN,DFD
,is,AUX,O
,defined,VERB,O
,as,ADP,O
,karst,NOUN,GEN
,developing,VERB,O
,in,ADP,O
,the,DET,O
,lower,ADJ,O
,part,NOUN,O
,of,ADP,O
,the,DET,O
,karstosphere,NOUN,O
,",",PUNCT,O
,where,ADV,O
,the,DET,O
,internal,ADJ,O
,(,PUNCT,O
,telluric,NOUN,O
,),PUNCT,O
,energy,NOUN,O
,is,AUX,O
,dominant,ADJ,O
,and,CCONJ,O
,the,DET,O
,rock,NOUN,O
,mass,NOUN,O
,is,AUX,O
,under,ADP,O
,lithostatic,NOUN,O
,pressure,NOUN,O
,which,PRON,O
,exceeds,VERB,O
,its,PRON,O
,tensile,NOUN,O
,strength,NOUN,O
,.,PUNCT,O
Sentence 14,The,DET,O
,epikarst,NOUN,DFD
,is,AUX,O
,defined,VERB,O
,as,ADP,O
,the,DET,O
,uppermost,ADJ,O
,zone,NOUN,GEN
,of,ADP,GEN
,exposed,VERB,GEN
,karst,NOUN,GEN
,rock,NOUN,GEN
,",",PUNCT,O
,in,ADP,O
,which,PRON,O
,permeability,NOUN,O
,due,ADP,O
,to,ADP,O
,fissuring,NOUN,O
,and,CCONJ,O
,karstification,NOUN,O
,is,AUX,O
,higher,ADJ,O
,and,CCONJ,O
,more,ADV,O
,uniformly,ADV,O
,distributed,VERB,O
,than,ADP,O
,in,ADP,O
,the,DET,O
,rock,NOUN,O
,mass,NOUN,O
,below,ADV,O
,.,PUNCT,O
Sentence 15,The,DET,O
,highly,ADV,GEN
,corroded,ADV,GEN
,zone,NOUN,DFD
,near,ADP,O
,the,DET,O
,surface,NOUN,O
,is,AUX,O
,termed,VERB,O
,the,DET,O
,epikarst,NOUN,O
,or,CCONJ,O
,subcutaneous,ADJ,DFD
,zone,NOUN,GEN
,.,PUNCT,O
Sentence 16,The,DET,O
,highly,ADV,GEN
,corroded,ADV,GEN
,zone,NOUN,GEN
,near,ADP,O
,the,DET,O
,surface,NOUN,O
,is,AUX,O
,termed,VERB,O
,the,DET,O
,epikarst,NOUN,DFD
,or,CCONJ,O
,subcutaneous,ADJ,O
,zone,NOUN,O
,.,PUNCT,O
Sentence 17,The,DET,O
,term,NOUN,O
,estavelle,NOUN,DFD
,was,AUX,O
,first,ADV,O
,used,VERB,O
,in,ADP,O
,the,DET,O
,Jura,PROPN,O
,but,CCONJ,O
,is,AUX,O
,now,ADV,O
